Site,Location,County,Lat,long
3762,Arroyo Grande-2391 Willow Road,San Luis Obispo,35.04676,-120.58777
3026,Clovis-N Villa Avenue,Fresno,36.819313,-119.716389
2849,Glendora-Laurel,LA,34.14437,-117.85038
3154,Keeler-Cerro Gordo Road,Inyo,36.48785,-117.87104
3658,Lancaster-43301 Division Street,LA,34.66959,-118.13068
2899,Los Angeles-North Main Street,LA,34.06653,-118.22676
2955,Paso Robles-Santa Fe Avenue,San Luis Obispo,35.614668,-120.656912
2956,Roseville-N Sunrise Blvd,Placer,38.74643,-121.26498
3011,Sacramento-T Street,Sacramento,38.56844,-121.49311
2948,South Lake Tahoe-Sandy Way,El Dorado County,38.944979,-119.970609